Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,58.790001,59.299999,58.349998,58.750000,57.259350,17252100
2020-05-06,59.040001,59.950001,58.939999,59.180000,58.004253,17848700
2020-05-07,59.930000,60.099998,58.919998,59.169998,57.994450,14733500
2020-05-08,59.669998,59.779999,59.049999,59.669998,58.484516,20384500
2020-05-11,59.740002,60.840000,59.709999,60.130001,58.935379,18684400
2020-05-12,60.220001,60.639999,58.259998,58.389999,57.229946,16754900
2020-05-13,58.450001,59.230000,56.900002,57.740002,56.592865,21065000
2020-05-14,57.320000,59.150002,56.099998,59.080002,57.906239,21569400
2020-05-15,57.400002,58.369999,56.959999,58.279999,57.122131,21373300
2020-05-18,59.740002,60.279999,59.360001,59.919998,58.729549,20428700
2020-05-19,60.130001,61.770000,59.849998,60.290001,59.092201,21865000
2020-05-20,61.160000,63.490002,61.020000,63.099998,61.846375,30584000
2020-05-21,63.099998,63.799999,61.820000,61.980000,60.748627,20987700
2020-05-22,61.980000,62.320000,61.419998,62.259998,61.023060,14103000
2020-05-26,63.680000,64.139999,62.119999,62.340000,61.101471,20933600
2020-05-27,62.320000,63.590000,61.070000,63.560001,62.297237,19886300
2020-05-28,63.000000,63.450001,61.490002,61.700001,60.474190,17253500
2020-05-29,61.900002,63.660000,61.619999,62.930000,61.679749,33393900
2020-06-01,62.490002,62.660000,61.660000,61.860001,60.631008,14317700
2020-06-02,61.700001,62.169998,60.830002,62.119999,60.885845,20702400
2020-06-03,62.450001,62.540001,61.529999,61.930000,60.699615,16737300
2020-06-04,61.740002,63.470001,61.340000,62.970001,61.718956,22010100
2020-06-05,63.360001,65.110001,63.160000,64.339996,63.061733,26813100
2020-06-08,63.970001,64.150002,62.939999,63.669998,62.405048,21546200
2020-06-09,62.990002,63.709999,62.900002,63.040001,61.787563,23594100
2020-06-10,62.790001,64.290001,62.750000,63.869999,62.601074,21367800
2020-06-11,63.070000,63.299999,59.520000,59.700001,58.513927,26998200
2020-06-12,60.110001,60.959999,58.119999,59.330002,58.151276,30419800
2020-06-15,59.330002,60.360001,58.580002,60.099998,58.905975,29651700
2020-06-16,61.490002,61.650002,59.490002,60.400002,59.200020,23226600
2020-06-17,60.740002,61.279999,60.060001,60.490002,59.288227,20454800
2020-06-18,60.349998,60.509998,59.320000,60.080002,58.886372,24899700
2020-06-19,60.650002,60.889999,59.099998,59.619999,58.435509,60336100
2020-06-22,59.730000,60.549999,58.830002,60.090000,58.896172,22846000
2020-06-23,60.189999,60.470001,59.860001,59.919998,58.729549,22809600
2020-06-24,59.639999,59.810001,58.669998,59.090000,57.916039,27764500
2020-06-25,58.980000,59.090000,57.480000,58.509998,57.347561,21906900
2020-06-26,58.490002,58.730000,57.070000,57.500000,56.357628,38477500
2020-06-29,57.470001,58.349998,56.759998,58.270000,57.112335,22150300
2020-06-30,58.709999,59.980000,58.540001,59.830002,58.641346,31542100
2020-07-01,59.910000,60.029999,58.759998,58.810001,57.641605,14748100
2020-07-02,59.189999,59.810001,58.970001,59.130001,57.955250,15578600
2020-07-06,58.720001,59.619999,58.599998,59.540001,58.357101,20536700
2020-07-07,59.070000,59.570000,58.139999,58.310001,57.151539,15996500
2020-07-08,58.450001,58.700001,57.930000,58.610001,57.445580,13277900
2020-07-09,58.200001,58.750000,57.700001,58.419998,57.259350,20683700
2020-07-10,57.950001,59.689999,57.830002,59.529999,58.347298,17742300
2020-07-13,59.840000,60.619999,58.389999,58.580002,57.416176,19082900
2020-07-14,57.869999,59.250000,57.349998,58.980000,57.808228,24190900
2020-07-15,59.029999,59.340000,58.419998,59.029999,57.857235,19986300
2020-07-16,58.540001,59.360001,58.400002,59.139999,57.965050,12425900
2020-07-17,59.419998,60.459999,59.279999,60.000000,58.807964,16322800
2020-07-20,60.080002,61.380001,59.340000,61.150002,59.935116,16868700
2020-07-21,61.520000,61.930000,60.439999,60.700001,59.494057,19803700
2020-07-22,61.310001,61.770000,60.619999,61.049999,59.837101,18959900
2020-07-23,61.259998,61.740002,59.980000,60.400002,59.200020,43518600
2020-07-24,52.150002,52.180000,49.500000,50.590000,49.584911,182269900
2020-07-27,51.029999,51.139999,49.470001,49.570000,48.585178,107526500
2020-07-28,49.480000,50.230000,49.139999,49.240002,48.261738,62362600
2020-07-29,49.490002,49.500000,47.900002,48.070000,47.114979,60500800
2020-07-30,47.830002,48.500000,47.590000,47.990002,47.036568,39735200
2020-07-31,48.130001,48.320000,46.970001,47.730000,46.781734,46536000
2020-08-03,48.270000,48.630001,47.740002,48.299999,47.340408,31767100
2020-08-04,48.599998,49.139999,48.500000,49.130001,48.153919,29045800
2020-08-05,49.720001,49.720001,48.660000,48.919998,47.948090,29438600
2020-08-06,48.790001,48.820000,48.099998,48.570000,47.928356,23795500
2020-08-07,48.529999,48.650002,47.700001,48.029999,47.395489,36765200
2020-08-10,48.200001,49.389999,48.060001,49.220001,48.569771,37442600
2020-08-11,49.630001,49.730000,48.060001,48.189999,47.553371,35348100
2020-08-12,48.669998,49.259998,48.240002,49.189999,48.540161,30659800
2020-08-13,49.259998,49.330002,48.389999,48.560001,47.918488,24774500
2020-08-14,48.730000,49.209999,48.650002,48.889999,48.244125,22321200
2020-08-17,49.110001,49.310001,48.730000,48.930000,48.283600,20018300
2020-08-18,49.259998,49.570000,48.619999,48.650002,48.007301,19251400
2020-08-19,48.790001,48.980000,48.250000,48.330002,47.691528,27775000
2020-08-20,49.810001,50.200001,49.000000,49.169998,48.520428,55081300
2020-08-21,49.020000,49.310001,48.650002,49.279999,48.628975,34621500
2020-08-24,49.259998,49.400002,48.820000,49.139999,48.490826,36295300
2020-08-25,49.349998,49.880001,49.209999,49.430000,48.776993,38384300
2020-08-26,49.389999,49.669998,49.230000,49.549999,48.895409,28616600
2020-08-27,49.790001,49.930000,49.169998,49.400002,48.747391,24420600
2020-08-28,49.570000,50.799999,49.459999,50.430000,49.763783,35384700
2020-08-31,51.000000,51.500000,50.320000,50.950001,50.276917,46114100
2020-09-01,50.910000,51.000000,50.220001,50.790001,50.119030,30472800
2020-09-02,51.209999,52.680000,51.090000,52.250000,51.559738,53000700
2020-09-03,52.500000,52.619999,50.139999,50.389999,49.724312,47394300
2020-09-04,50.529999,51.230000,49.490002,50.080002,49.418411,43318400
2020-09-08,49.259998,49.900002,48.849998,48.910000,48.263863,39752700
2020-09-09,49.529999,49.970001,49.040001,49.619999,48.964481,33437300
2020-09-10,50.000000,50.090000,48.709999,48.959999,48.313202,32649100
2020-09-11,49.259998,50.049999,48.950001,49.279999,48.628975,29333600
2020-09-14,48.849998,49.720001,48.849998,49.410000,48.757259,27212500
2020-09-15,49.790001,50.599998,49.730000,50.000000,49.339462,27598300
2020-09-16,50.509998,51.029999,50.169998,50.369999,49.704575,26531400
2020-09-17,49.369999,50.490002,49.299999,50.320000,49.655235,26959900
2020-09-18,50.330002,50.500000,49.040001,49.889999,49.230915,50123500
2020-09-21,49.389999,49.750000,48.830002,49.720001,49.063164,27377100
2020-09-22,49.889999,50.209999,49.470001,49.950001,49.290127,22290900
2020-09-23,49.830002,50.150002,48.660000,48.820000,48.175053,30078800
2020-09-24,48.529999,49.639999,48.419998,49.160000,48.510559,29343400
2020-09-25,48.959999,50.279999,48.750000,49.939999,49.280258,26633400
2020-09-28,50.509998,51.459999,50.160000,51.430000,50.750572,29652200
